epoch,e_in,e_out
0,0.185289,0.152198
1,0.149328,0.141847
2,0.141051,0.136175
3,0.137316,0.134530
4,0.134878,0.130621
5,0.131371,0.127296
6,0.128106,0.124214
7,0.125379,0.120739
8,0.122523,0.117887
9,0.121124,0.119921
10,0.119283,0.116165
11,0.117776,0.115638
12,0.116223,0.118344
13,0.115104,0.111461
14,0.113549,0.109654
15,0.112933,0.108778
16,0.111507,0.108073
17,0.110324,0.107690
18,0.109621,0.108425
19,0.108209,0.106620
20,0.107654,0.104852
21,0.106973,0.104400
22,0.107292,0.104358
23,0.105850,0.103767
24,0.105361,0.104208
25,0.104820,0.103136
26,0.104231,0.103189
27,0.103403,0.103248
28,0.103631,0.102732
29,0.102684,0.103029